[2018-06-08 12:05:01] [info] Start Program:
Path:"C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe"
Arguments:
Working directory: "C:\Users\ad\Desktop\CS\OOP\Lab13\Lab13\"
Modules: Selected: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe Excluded: 
Sources: Selected: C:\Users\ad\Desktop\CS\OOP\Lab13\Lab13 Excluded: 
Log Level: Normal
Cover Children: 0
Aggregate by file: 1
Continue after C++ exception: 0
Optimized build support: 0
Export: Binary C:\Users\ad\AppData\Local\Temp\mavktxdl.oag 
Input coverage: 
Unified diff: 
Excluded line regular expressions: 

[2018-06-08 12:05:01] [info] Module: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe is selected because it matches selected pattern: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\ntdll.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\kernel32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Program Files\AVAST Software\Avast\x64\aswhooka.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\KernelBase.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\shell32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\msvcrt.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\cfgmgr32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\ucrtbase.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\SHCore.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\rpcrt4.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\combase.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\bcryptprimitives.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\windows.storage.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\advapi32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\sechost.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\shlwapi.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\gdi32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\gdi32full.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\msvcp_win.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\user32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\win32u.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\kernel.appcore.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\profapi.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\powrprof.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\fltLib.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Qt\5.10.1\msvc2017_64\bin\Qt5Cored.dll is skipped because it matches no selected patterns
